Автор;Цитата;Ссылка
Людвиг Ван Бетховен;Новое и оригинальное рождается само собой, без того, чтобы творец об этом думал. ;http://forismatic.com/ru/e46eb04c5c/
Баязид Бистами;Сердце познавшего подобно светильнику в оправе из зеркал, не имеющих изъяна. Сияние сердца озаряет весь ангельский мир. Чем же тогда сердцу может быть страшна тьма?;http://forismatic.com/ru/cdaa37fb2f/
Поль Валери;Нет ничего более постоянного, чем непредвиденное.;http://forismatic.com/ru/6246e63586/
Виктор Гюго;Ничто так не способствует созданию будущего, как смелые мечты. Сегодня утопия, завтра — плоть и кровь.;http://forismatic.com/ru/ac26268b7e/
Иоанн Дамаскин;Не вверяй своей тайны тому, кто угощает тебя, прежде чем не узнаешь его верности и дружбы.;http://forismatic.com/ru/25e6c0612b/
Карлос Кастанеда;Обычный человек ищет признания в глазах окружающих, называя это уверенностью в себе. Воин ищет безупречности в собственных глазах и называет это смирением. ;http://forismatic.com/ru/38c4359a4a/
Паоло Коэльо;Если ты чего-нибудь хочешь, вся Вселенная будет способствовать тому, чтобы желание твое сбылось. ;http://forismatic.com/ru/13e7cad1ea/
Брюс Ли;Очисти свой разум. Стань бесформенным как вода. Когда воду наливают в чашку, она становится чашкой. Когда воду наливают в чайник, она становится чайником. Будь водой. ;http://forismatic.com/ru/7ed918c4a5/
Лукреций;"Пока у нас нет того, к чему мы стремимся, эта вещь нам кажется высшим благом; а, получив ее, мы начинаем столь же страстно желать чего-то другого.";http://forismatic.com/ru/8dd2107441/
Михаил Мамчич;Глупый ищет, как преодолеть одиночество, мудрый — находит, как насладиться им. ;http://forismatic.com/ru/8762402dde/
Харуки Мураками;Настоящий гений — человек, живущий в том мире, который он сам придумал и построил. ;http://forismatic.com/ru/ef1bbc857b/
Блез Паскаль;Чем человек умнее и добрее, тем больше он замечает добра в людях. ;http://forismatic.com/ru/6c756e69ce/
Эрих Мария Ремарк;Пока человек не сдаётся, он сильнее своей судьбы.;http://forismatic.com/ru/543c02ebb1/
Джим Рон;Не иди позади меня — возможно, я не поведу тебя. Не иди впереди меня — возможно, я не последую за тобой. Иди рядом, и мы будем одним целым.;http://forismatic.com/ru/6a96f3cf02/
Сенека;Достиг вершины тот, кто знает, чему радоваться. ;http://forismatic.com/ru/15b7e88413/
Публий Сир;Всегда побеждает тот, кто действует лаской. ;http://forismatic.com/ru/455469459d/
Григорий Сковорода;Нам нехорошо оттого, что мы знаем много лишнего, а не знаем самого нужного: самих себя. Не знаем того, кто живет в нас. Если бы мы знали и помнили то, что живет в каждом из нас, то жизнь наша была бы совсем другая.;http://forismatic.com/ru/bb621a0c3b/
Вальтер Скотт;Для робких и колеблющихся все невозможно, потому, что это им так кажется. ;http://forismatic.com/ru/ec4b3aa73e/
Марк Твен;Смелость — это сопротивление страху и контроль над страхом, а не отсутствие страха. ;http://forismatic.com/ru/3a56d6ea2e/
Лев Толстой;Важно не количество знаний, а качество их. Можно знать очень многое, не зная самого нужного.;http://forismatic.com/ru/a364754439/
